UF,Estado,Nome IF,Campus / Município,IDHM-2010,Pop. Residente,SMMínimo (em salários mínimos),PIB per capita (R$),Pessoal com ocupação,Núm. de empresas atuantes,Matrícula ensino médio (2012),Matrícula ensino fundamental (2012),Qtd. de cursos técicos,Qtd. de eixos (consolidado por IF sede),Qtd. matriculas em CT,IDEB 2013 (Series finais rede publica),Qtd. de grupos de pesquisa (Valor agregado para o IF .),Projetos PIBID (Valor agregado por IF),Infraestrutura,Especialista,Mestre,Doutores
AC,Acre,Instituto Federal do Acre,Cruzeiro do Sul,0.664,"78,507",1.9,"10,517.29","8,177","1,098","5,109","19,985",,6,,"4,5",0,83,3,59.86,34.01,6.12
AC,Acre,Instituto Federal do Acre,Rio Branco,0.727,"336,038",3.3,"13,120.16","103,759","5,654","19,473","63,156",,7,,"4,5",0,83,3,59.86,34.01,6.12
AC,Acre,Instituto Federal do Acre,Sena Madureira,0.603,"38,029",2.2,"9,253.34","2,283",488,"1,788","8,409",,5,,"4,2",0,83,2,59.86,34.01,6.12
AC,Acre,Instituto Federal do Acre,Xapuri,0.599,"16,091",1.9,"12,270.21",731,139,657,"3,415",,5,,"3,9",0,83,3,59.86,34.01,6.12
AL,Alagoas,Instituto Federal de Alagoas,Arapiraca,0.649,"214,006",1.6,"10,058.91","35,098","3,975","10,877","36,387",,3,,"2,8",20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Maceió,0.721,"932,748",2.7,"14,572.42","277,092","16,694","37,238","141,698",,6,,"2,6",20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Maragogi,0.574,"28,749",1.7,"5,026.66","3,513",386,"1,034","6,005",,3,,"2,0",20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Marechal Deodoro,0.642,"45,977",3,"19,514.37","9,236",598,"2,035","9,144",,2,,"2,0",20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Murici,0.527,"26,710",1.5,"5,100.19","2,615",263,"1,220","6,194",,2,,"3,2",20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Palmeira dos Índios,0.638,"70,368",1.7,"6,597.51","7,853","1,144","4,858","13,173",,5,,"2,6",20,406,4,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Penedo,0.630,"60,378",1.9,"6,535.06","8,586",748,"3,340","11,080",,3,,"3,1",20,406,4,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Piranhas,0.589,"23,045",1.8,"3,790.58","1,802",215,"1,249","5,490",,2,,"2,5",20,406,4,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Santana do Ipanema,0.591,"44,932",1.8,"5,270.10","4,056",480,"2,567","9,846",,2,,"2,6",20,406,2,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,São Miguel dos Campos,0.623,"54,577",2.4,"15,576.72","14,871",637,"2,938","11,166",,1,,-,20,406,3,43.95,46.76,9.29
AL,Alagoas,Instituto Federal de Alagoas,Satuba,0.660,"14,603",2.1,"5,863.99","1,573",172,898,"2,523",,3,,"2,4",20,406,3,43.95,46.76,9.29
AP,Amapá,Instituto Federal do Amapá,Laranjal do Jari,0.665,"39,942",2,"9,862.99","3,113",399,"2,259","9,398",,5,,"3,5",0,97,2,73.42,24.68,1.90
AP,Amapá,Instituto Federal do Amapá,Macapá,0.733,"398,204",3.6,"13,821.85","98,234","6,020","24,285","78,924",,7,,"3,4",0,97,3,73.42,24.68,1.90
AM,Amazonas,Instituto Federal do Amazonas,Coari,0.586,"75,965",8.6,"29,371.69","2,693",527,"3,779","18,496",,6,,"3,7",17,77,2,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Lábrea,0.531,"37,701",1.6,"7,184.03","1,574",129,"1,719","9,158",,5,,"3,5",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Manaus,0.737,"1,802,014",3.1,"27,845.71","559,731","24,299","97,791","360,754",,11,,"3,9",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Manaus,0.737,"1,802,014",3.1,"27,845.71","559,731","24,299","97,791","360,754",,11,,"3,9",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Manaus,0.737,"1,802,014",3.1,"27,845.71","559,731","24,299","97,791","360,754",,11,,"3,9",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Maués,0.588,"52,236",1.8,"6,629.56","3,256",487,"2,516","13,915",,6,,"4,0",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Parintins,0.658,"102,033",1.8,"6,487.42","6,799",792,"7,769","22,019",,6,,"4,4",17,77,3,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Presidente Figueiredo,0.647,"27,175",2.9,"15,922.01","4,609",246,"1,482","6,353",,6,,"4,7",17,77,2,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,São Gabriel da Cachoeira,0.609,"37,896",1.8,"4,994.98","2,866",278,"2,380","11,564",,6,,"4,3",17,77,4,53.45,38.23,8.32
AM,Amazonas,Instituto Federal do Amazonas,Tabatinga,0.616,"52,272",1.7,"4,935.53","2,657",325,"2,919","13,174",,5,,"3,8",17,77,2,53.45,38.23,8.32
BA,Bahia,Instituto Federal da Bahia,Barreiras,0.721,"137,427",2,"15,315.63","28,275","3,693","6,707","21,271",,6,,"3,3",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal Baiano,Bom Jesus da Lapa,0.633,"63,480",1.8,"7,187.55","7,562","1,408","2,634","12,193",,2,,"3,8",4,527,2,20.53,59.67,19.81
BA,Bahia,Instituto Federal da Bahia,Camaçari,0.694,"242,970",4.2,"49,412.60","85,600","5,132","12,230","37,295",,3,,-,46,419,4,41.59,46.27,12.13
BA,Bahia,Instituto Federal Baiano,Catu,0.677,"51,077",3.9,"8,236.02","8,172",799,"2,038","7,727",,9,,"2,6",4,527,3,20.53,59.67,19.81
BA,Bahia,Instituto Federal da Bahia,Eunápolis,0.677,"100,196",2.3,"13,640.53","20,504","2,460","4,119","18,183",,4,,"3,8",46,419,2,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Feira de Santana,0.712,"556,642",1.9,"14,704.55","136,107","15,250","21,105","83,202",,4,,"3,4",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal Baiano,Governador Mangabeira,0.643,"19,818",1.5,"5,742.64","2,631",234,862,"3,355",,4,,"2,7",4,527,3,20.53,59.67,19.81
BA,Bahia,Instituto Federal Baiano,Guanambi,0.673,"78,833",1.7,"8,350.99","12,473","2,536","3,658","11,681",,7,,"2,8",4,527,3,20.53,59.67,19.81
BA,Bahia,Instituto Federal da Bahia,Ilhéus,0.690,"184,236",2.8,"12,462.47","34,526","3,868","7,293","28,910",,4,,"3,1",46,419,4,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Irecê,0.691,"66,181",2.5,"8,504.19","14,288","1,885","3,989","11,203",,4,,"3,8",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Jacobina,0.649,"79,247",2,"8,917.96","11,237","1,620","3,360","12,732",,5,,"3,7",46,419,2,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Jequié,0.665,"151,895",1.8,"12,114.90","26,595","3,175","6,110","23,708",,3,,"3,1",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Paulo Afonso,0.674,"108,396",2.4,"20,926.60","15,760","1,727","4,652","17,084",,7,,"3,4",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Porto Seguro,0.676,"126,929",1.7,"8,233.99","29,082","3,875","6,146","24,832",,4,,"4,4",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Salvador,0.759,"2,675,656",3.4,"14,411.73","927,774","58,673","107,050","304,047",,6,,"2,9",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal Baiano,Santa Inês,0.674,"77,282",1.5,"6,503.29","9,443","1,588","5,189","17,211",,9,,"2,9",4,527,3,20.53,59.67,19.81
BA,Bahia,Instituto Federal da Bahia,Santo Amaro,0.646,"57,800",1.8,"7,352.77","6,647",794,"2,914","9,099",,4,,"2,6",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Seabra,0.635,"41,798",1.9,"6,522.81","3,932",861,"1,998","8,055",,3,,"3,3",46,419,2,41.59,46.27,12.13
BA,Bahia,Instituto Federal Baiano,Senhor do Bonfim,0.666,"74,419",1.7,"7,178.81","9,689","1,616","4,753","12,620",,8,,"2,9",4,527,2,20.53,59.67,19.81
BA,Bahia,Instituto Federal da Bahia,Simões Filho,0.675,"118,047",2.5,"32,929.73","39,928","2,692","5,353","19,057",,3,,"3,0",46,419,3,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Valença,0.623,"88,673",1.7,"7,724.00","12,173","1,564","3,540","16,159",,7,,"2,3",46,419,2,41.59,46.27,12.13
BA,Bahia,Instituto Federal da Bahia,Vitória da Conquista,0.678,"306,866",1.9,"12,370.65","72,386","8,556","12,925","50,642",,5,,"3,3",46,419,4,41.59,46.27,12.13
CE,Ceará,Instituto Federal do Ceará,Acaraú,0.601,"57,551",1.8,"6,422.97","3,613",478,"2,672","10,610",,3,,"4,4",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Aracati,0.655,"69,159",1.6,"9,422.95","9,896","1,203","3,705","10,333",,4,,-,68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Baturité,0.619,"33,321",1.7,"5,610.78","3,129",613,"1,500","5,922",,1,,"3,9",68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Camocim,0.620,"60,158",1.1,"6,535.91","4,551",865,"3,462","11,144",,1,,-,68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Canindé,0.612,"74,473",1.9,"5,501.19","5,849",936,"3,418","13,627",,2,,"4,3",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Caucaia,0.682,"325,441",1.9,"9,791.00","30,206","3,473","14,313","52,831",,1,,"3,3",68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Cedro,0.627,"24,527",1.4,"4,809.18","2,063",334,"1,250","4,140",,2,,-,68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Crateús,0.644,"72,812",1.8,"5,890.43","6,200","1,278","3,363","11,762",,3,,"4,4",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Crato,0.713,"121,428",1.7,"8,329.39","19,174","2,386","6,602","19,821",,2,,"3,9",68,665,5,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Fortaleza,0.754,"2,452,185",2.7,"16,962.89","873,746","64,674","111,887","342,920",,6,,"3,9",68,665,5,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Iguatu,0.677,"96,495",1.5,"9,030.55","14,166","1,942","4,017","13,738",,6,,"3,7",68,665,4,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Jaguaribe,0.621,"34,409",1.7,"7,744.06","3,338",763,"1,387","5,960",,1,,"3,6",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Juazeiro do Norte,0.694,"249,939",1.6,"8,897.47","48,824","5,622","11,673","40,274",,2,,"4,2",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Limoeiro do Norte,0.682,"56,264",1.7,"7,449.25","7,196","1,208","2,378","8,431",,4,,"4,1",68,665,4,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Maracanaú,0.686,"209,057",2,"22,709.76","54,904","3,554","12,006","38,088",,3,,"3,1",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Morada Nova,0.610,"62,065",1.7,"7,237.14","5,935",616,"2,586","10,243",,2,,"4,1",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Quixadá,0.659,"80,604",1.6,"7,400.62","8,387","1,378","4,473","12,841",,5,,"4,3",68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Sobral,0.714,"188,233",1.8,"12,774.81","47,624","3,282","12,584","32,348",,4,,"4,2",68,665,4,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Tabuleiro do Norte,0.645,"29,204",1.7,"6,167.17","2,525",444,"1,227","4,397",,2,,"4,5",68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Tauá,0.633,"55,716",1.6,"5,791.00","4,454","1,312","2,461","9,665",,1,,-,68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Tianguá,0.657,"68,892",1.6,"7,462.08","6,887","1,607","3,452","12,825",,2,,-,68,665,2,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Ubajara,0.648,"31,787",1.6,"6,951.48","3,066",434,"1,621","5,819",,1,,"3,6",68,665,3,41.28,44.43,14.29
CE,Ceará,Instituto Federal do Ceará,Umirim,0.587,"18,802",1.9,"4,709.35","1,180",108,816,"3,208",,2,,"3,7",68,665,3,41.28,44.43,14.29
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,5,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,2,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,4,46.99,42.41,10.60
DF,Distrito Federal,Instituto Federal de Brasília,Brasília,0.824,"2,570,160",5.8,"63,020.02","1,283,521","93,421","111,774","409,586",,10,,"3,8",9,51,3,46.99,42.41,10.60
ES,Espírito Santo,Instituto Federal do Espirito Santo,Alegre,0.721,"30,768",1.7,"8,540.99","4,046",859,"1,473","4,140",,3,,"4,4",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Aracruz,0.752,"81,832",3.4,"41,018.50","28,894","2,233","4,404","13,647",,1,,"3,7",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Cachoeiro de Itapemirim,0.746,"189,889",2,"15,445.84","57,982","6,249","7,814","26,184",,3,,"4,0",52,480,2,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Cariacica,0.718,"348,738",2.1,"17,455.44","65,168","6,913","12,733","56,179",,3,,"3,7",52,480,2,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Colatina,0.746,"111,788",2,"18,686.16","38,382","4,486","4,993","14,891",,6,,"4,9",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Colatina,0.746,"111,788",2,"18,686.16","38,382","4,486","4,993","14,891",,6,,"4,9",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Guarapari,0.731,"105,286",1.8,"10,658.81","27,132","4,350","3,636","17,718",,2,,"5,0",52,480,4,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Ibatiba,0.647,"22,366",1.9,"9,593.88","2,599",544,619,"3,548",,2,,"4,7",52,480,2,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Linhares,0.724,"141,306",2.2,"25,249.13","44,207","3,870","5,098","23,150",,2,,"4,1",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Nova Venécia,0.712,"46,031",2,"13,170.37","9,041","1,245","2,307","6,622",,2,,"3,6",52,480,4,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Piúma,0.727,"18,123",1.9,"16,592.50","2,841",538,764,"2,902",,2,,"4,9",52,480,2,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Santa Maria de Jetibá,0.671,"34,176",2,"19,165.24","5,130",899,"1,190","5,229",,-,,"3,9",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Santa Teresa,0.714,"21,823",2.1,"11,889.05","4,733",716,"1,152","3,172",,3,,"4,2",52,480,2,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,São Mateus,0.735,"109,028",2.6,"11,061.87","22,548","2,425","4,558","18,609",,1,,"4,0",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Serra,0.739,"409,267",2.8,"32,996.15","143,709","10,811","14,654","67,010",,2,,"3,6",52,480,4,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Venda Nova do Imigrante,0.728,"20,447",1.9,"14,962.97","6,089",773,"1,122","3,237",,2,,"5,2",52,480,3,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Vila Velha,0.800,"414,586",2.2,"17,244.79","128,939","14,086","14,453","56,413",,2,,"3,7",52,480,4,35.61,43.00,21.38
ES,Espírito Santo,Instituto Federal do Espirito Santo,Vitória,0.845,"327,801",4.1,"85,794.33","261,767","18,824","16,465","41,903",,3,,"2,9",52,480,3,35.61,43.00,21.38
GO,Goiás,Instituto Federal de Goiás,Anápolis,0.737,"334,613",2.4,"35,798.94","100,356","9,209","15,716","49,204",,5,,"4,9",5,375,4,26.95,58.44,14.61
GO,Goiás,Instituto Federal de Goiás,Aparecida de Goiânia,0.718,"455,657",2,"13,538.58","124,302","8,760","21,155","69,522",,5,,"4,1",5,375,2,26.95,58.44,14.61
